Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nº_Habitantes
2005;SI;2016;2016;NO;NO;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;SIN DATO;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2151;SI;2017;2017;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADOLESCENTE 14 - 17;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2258;SI;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2517;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADOLESCENTE 14 - 17;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2530;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;2;Región Eje Cafetero - Antioquia;5974788
2860;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2861;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;MASCULINO;1;Región Eje Cafetero - Antioquia;5974788
2868;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BELLO;N/A;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2872;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTO MAYOR DE 60;SI;NO;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2874;SI;2019;2019;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTO MAYOR DE 60;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3083;SI;2020;2020;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BELLO;N/A;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3205;SI;2020;2020;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BELLO;N/A;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3366;SI;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADOLESCENTE 14 - 17;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3368;SI;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;BELLO;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2527;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;BETULIA;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3039;SI;2020;2020;NO;NO;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;BETULIA;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3284;SI;2020;2020;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P. AGRAVADO NUM. 1, 3, 5, 7 Y 8 DEL ART. 104. ART. 104B L.G;Antioquia;ACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;BETULIA;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1239;NO;2021;2021;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTO MAYOR DE 60;SI;SI;SI;Ley 906;CÁCERES;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1303;NO;2022;2022;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;Ley 906;CÁCERES;Colombia;NO;DIRECCIÓN SECCIONAL DE ANTIOQUIA;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
1574;NO;2022;2022;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;NO;SI;Ley 906;CALDAS;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;2;Región Eje Cafetero - Antioquia;5974788
2250;SI;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;CALDAS;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
2521;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;CALDAS;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
3206;SI;2020;2020;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;JUICIO;PRE-ADOLESCENTE 12 - 13;SI;SI;SI;Ley 906;CALDAS;Colombia;NO;DIRECCIÓN SECCIONAL DE MEDELLÍN;FEMENINO;1;Región Eje Cafetero - Antioquia;5974788
