Item;ACUSACION;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;CONEXO;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;LEY;MUNICIPIO;PAIS_NACIMIENTO;RUPTURA;SECCIONAL;SEXO_VICTIMA;TOTAL_VICTIMAS;Region;Nß_Habitantes
2595;SI;2018;2018;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;PRE-ADOLESCENTE 12 - 13;SI;SI;SI;Ley 906;BAJO BAUD‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2394;SI;2018;2018;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;JUICIO;JUVENTUD 18 - 28;SI;NO;SI;Ley 906;CêRTEGUI;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
386;NO;2018;2018;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;INDAGACI‡N;SIN DATO;SI;SI;NO;Ley 906;ISTMINA;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1189;NO;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;Ley 906;ISTMINA;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1190;NO;2021;2021;NO;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;JUICIO;PRIMERA INFANCIA 0 - 5;SI;SI;SI;Ley 906;ISTMINA;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1853;NO;2023;2023;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;SI;SI;NO;Ley 906;ISTMINA;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1393;NO;2022;2022;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;ADULTEZ 29 - 59;SI;NO;NO;Ley 906;LLOR‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
3354;SI;2021;2021;NO;NO;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;LLOR‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
1394;NO;2022;2022;NO;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;ACTIVO;INDAGACI‡N;JUVENTUD 18 - 28;SI;NO;NO;Ley 906;MEDIO BAUD‡;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
2313;SI;2017;2017;NO;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Choc¢;INACTIVO;EJECUCI‡N DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;Ley 906;MEDIO SAN JUAN;Colombia;NO;DIRECCI‡N SECCIONAL DE CHOC‡;FEMENINO;1;Regi¢n Pac°fico;
